"'APROXIMACIONES AL","'MAYOR EN LA MISMA","'SERIE",
"'TIPO DE PREMIO","'VALOR BRUTO BILLETE","'VALOR NETO A PAGAR BILLETE",
"'TRES PRIMERAS CIFRAS DEL MAYOR","'$ 8.000.000,00","'$ 5.312.000,00",
"'DOS PRIMERAS Y ULTIMA CIFRA DEL MAYOR","'$ 8.000.000,00","'$ 5.312.000,00",
"'TRES ULTIMAS CIFRAS DEL MAYOR","'$ 8.000.000,00","'$ 5.312.000,00",
"'DOS PRIMERAS CIFRA DEL MAYOR","'$ 1.445.783,00","'$ 1.200.000,00",
"'DOSULTIMAS CIFRAS DEL MAYOR","'$ 1.445.783,00","'$ 1.200.000,00",
"'ULTIMA CIFRA DEL MAYOR","'$ 144.578,00","'$ 120.000,00",
,,

'Confidence Scores % (Table Cell)
""'74.56054688","'74.56054688","'74.56054688",
"'78.80859375","'76.46484375","'76.31835938",
"'87.93945313","'85.35156250","'85.15625000",
"'88.86718750","'86.23046875","'86.08398438",
"'89.35546875","'86.71875000","'86.52343750",
"'88.76953125","'86.18164063","'85.98632813",
"'87.93945313","'85.35156250","'85.15625000",
"'90.13671875","'87.45117188","'87.30468750",
