"'APROXIMACIONES AL MAYOR","'EN DIFERENTE SERIE","'",
"'TIPO DE PREMIO","'VALOR BRUTO BILLETE","'VALOR NETO A PAGAR BILLETE",
"'MAYOR DIFERENTE SERIE","'$ 4.066.265,00","'$ 2.700.000,00",
"'TRES PRIMERAS CIFRAS DEL MAYOR","'","'$ 60.000,00",
"'DOS PRIMERAS Y ULTIMA CIFRA DEL MAYOR","'5","'$ 60.000,00",
"'TRES ULTIMAS CIFRAS DEL MAYOR","'","'$ 60.000,00",
"'DOS PRIMERAS CIFRAS DEL MAYOR","'2025","'$ 30.000,00",
"'DOS ULTIMAS CIFRA DEL MAYOR","'","'$ 30.000,00",
"'TIMA CIFRA DEL MAYOR","'","'$ 15,000,00",
,,

'Confidence Scores % (Table Cell)
""'76.46484375","'76.46484375","'76.46484375",
"'92.04101563","'88.72070313","'89.06250000",
"'88.72070313","'85.54687500","'85.83984375",
"'87.45117188","'84.32617188","'84.61914063",
"'86.96289063","'83.83789063","'84.17968750",
"'86.37695313","'83.25195313","'83.54492188",
"'85.44921875","'82.37304688","'82.66601563",
"'83.93554688","'80.90820313","'81.20117188",
"'89.50195313","'86.27929688","'86.62109375",
