"'Premio Mayor","'$7.000.000.000","'Precio Billete","'$15.000",
"'Emision en billetes","'2.900.000","'Precio Fraccion","'$7.500",
"'Series total","'290","'Valor de la Emisión","'$43.500.000.000",
"'Fracciones","'2","'Valor Plan de Premios","'$17.432.240.963",
"'","'","'% Premios sobre emision","'40,2%",
,,,

'Confidence Scores % (Table Cell)
""'66.35742188","'63.23242188","'82.47070313","'83.88671875",
"'64.99023438","'61.96289063","'80.76171875","'82.17773438",
"'65.91796875","'62.84179688","'81.88476563","'83.30078125",
"'64.20898438","'61.23046875","'79.83398438","'81.20117188",
"'57.86132813","'55.17578125","'71.92382813","'73.14453125",
