"'PLAN DE","'PREMIOS $7.000.000.000","'MILLONES",
"'TIPO DE PREMIO","'VALOR BRUTO BILLETE","'VALOR NETO A PAGAR BILLETE",
"'PREMIO MAYOR","'7.000.000.000,00","'$ 4.648.000.000,00",
"'1 SECO","'$ 200.000.000,00","'$ 132.800.000,00",
"'4 SECOS 8","'$ 100.000.000,00","'$ 66.400.000,00",
"'10 SECOS","'$ 30.000.000,00","'$ 19.920.000,00",
"'15 SECOS","'$ 20.000.000,00","'$ 13.280.000,00",
"'20 SECOS","'$ 10.000.000,00","'$ 6.640.000,00",
,,

'Confidence Scores % (Table Cell)
""'85.44921875","'85.44921875","'85.44921875",
"'80.56640625","'77.53906250","'80.07812500",
"'84.86328125","'81.68945313","'84.37500000",
"'88.13476563","'84.81445313","'87.59765625",
"'87.69531250","'84.42382813","'87.20703125",
"'86.37695313","'83.15429688","'85.88867188",
"'87.79296875","'84.52148438","'87.30468750",
"'90.82031250","'87.45117188","'90.33203125",
